REGION;CoDIGO DANE DEL DEPARTAMENTO;DEPARTAMENTO;CoDIGO DANE DEL MUNICIPIO;MUNICIPIO
Region Eje Cafetero - Antioquia;5;Antioquia;5001;Medellin
Region Eje Cafetero - Antioquia;5;Antioquia;5002;Abejorral
Region Eje Cafetero - Antioquia;5;Antioquia;5004;Abriaqui
Region Eje Cafetero - Antioquia;5;Antioquia;5021;Alejandria
Region Eje Cafetero - Antioquia;5;Antioquia;5030;Amaga
Region Eje Cafetero - Antioquia;5;Antioquia;5031;Amalfi
Region Eje Cafetero - Antioquia;5;Antioquia;5034;Andes
Region Eje Cafetero - Antioquia;5;Antioquia;5036;Angelopolis
Region Eje Cafetero - Antioquia;5;Antioquia;5038;Angostura
Region Eje Cafetero - Antioquia;5;Antioquia;5040;Anori
Region Centro Oriente;15;Boyaca;15832;Tunungua
Region Eje Cafetero - Antioquia;5;Antioquia;5044;Anza
Region Eje Cafetero - Antioquia;5;Antioquia;5045;Apartado
Region Eje Cafetero - Antioquia;5;Antioquia;5051;Arboletes
Region Eje Cafetero - Antioquia;5;Antioquia;5055;Argelia
Region Eje Cafetero - Antioquia;5;Antioquia;5059;Armenia
Region Eje Cafetero - Antioquia;5;Antioquia;5079;Barbosa
Region Eje Cafetero - Antioquia;5;Antioquia;5088;Bello
Region Eje Cafetero - Antioquia;5;Antioquia;5091;Betania
Region Eje Cafetero - Antioquia;5;Antioquia;5093;Betulia
Region Eje Cafetero - Antioquia;5;Antioquia;5101;Ciudad Bolivar
Region Eje Cafetero - Antioquia;5;Antioquia;5107;Briceño
Region Eje Cafetero - Antioquia;5;Antioquia;5113;Buritica
Region Eje Cafetero - Antioquia;5;Antioquia;5120;Caceres
Region Eje Cafetero - Antioquia;5;Antioquia;5125;Caicedo
Region Eje Cafetero - Antioquia;5;Antioquia;5129;Caldas
Region Eje Cafetero - Antioquia;5;Antioquia;5134;Campamento
Region Eje Cafetero - Antioquia;5;Antioquia;5138;Cañasgordas
Region Eje Cafetero - Antioquia;5;Antioquia;5142;Caracoli
Region Eje Cafetero - Antioquia;5;Antioquia;5145;Caramanta
Region Eje Cafetero - Antioquia;5;Antioquia;5147;Carepa
Region Centro Oriente;15;Boyaca;15476;Motavita
Region Eje Cafetero - Antioquia;5;Antioquia;5150;Carolina
Region Eje Cafetero - Antioquia;5;Antioquia;5154;Caucasia
Region Eje Cafetero - Antioquia;5;Antioquia;5172;Chigorodo
Region Eje Cafetero - Antioquia;5;Antioquia;5190;Cisneros
Region Eje Cafetero - Antioquia;5;Antioquia;5197;Cocorna
Region Eje Cafetero - Antioquia;5;Antioquia;5206;Concepcion
Region Eje Cafetero - Antioquia;5;Antioquia;5209;Concordia
Region Eje Cafetero - Antioquia;5;Antioquia;5212;Copacabana
Region Eje Cafetero - Antioquia;5;Antioquia;5234;Dabeiba
Region Eje Cafetero - Antioquia;5;Antioquia;5237;Don Matias
Region Eje Cafetero - Antioquia;5;Antioquia;5240;Ebejico
Region Eje Cafetero - Antioquia;5;Antioquia;5250;El Bagre
Region Eje Cafetero - Antioquia;5;Antioquia;5264;Entrerrios
Region Eje Cafetero - Antioquia;5;Antioquia;5266;Envigado
Region Eje Cafetero - Antioquia;5;Antioquia;5282;Fredonia
Region Caribe;23;Cordoba;23675;San Bernardo del Viento
Region Eje Cafetero - Antioquia;5;Antioquia;5306;Giraldo
Region Eje Cafetero - Antioquia;5;Antioquia;5308;Girardota
Region Eje Cafetero - Antioquia;5;Antioquia;5310;Gomez Plata
Region Pacifico;27;Choco;27361;Istmina
Region Eje Cafetero - Antioquia;5;Antioquia;5315;Guadalupe
Region Eje Cafetero - Antioquia;5;Antioquia;5318;Guarne
Region Eje Cafetero - Antioquia;5;Antioquia;5321;Guatape
Region Eje Cafetero - Antioquia;5;Antioquia;5347;Heliconia
Region Eje Cafetero - Antioquia;5;Antioquia;5353;Hispania
Region Eje Cafetero - Antioquia;5;Antioquia;5360;Itagui
Region Eje Cafetero - Antioquia;5;Antioquia;5361;Ituango
Region Eje Cafetero - Antioquia;5;Antioquia;5086;Belmira
Region Eje Cafetero - Antioquia;5;Antioquia;5368;Jerico
Region Eje Cafetero - Antioquia;5;Antioquia;5376;La Ceja
Region Eje Cafetero - Antioquia;5;Antioquia;5380;La Estrella
Region Eje Cafetero - Antioquia;5;Antioquia;5390;La Pintada
Region Eje Cafetero - Antioquia;5;Antioquia;5400;La Union
Region Eje Cafetero - Antioquia;5;Antioquia;5411;Liborina
Region Eje Cafetero - Antioquia;5;Antioquia;5425;Maceo
Region Eje Cafetero - Antioquia;5;Antioquia;5440;Marinilla
Region Eje Cafetero - Antioquia;5;Antioquia;5467;Montebello
Region Eje Cafetero - Antioquia;5;Antioquia;5475;Murindo
Region Eje Cafetero - Antioquia;5;Antioquia;5480;Mutata
Region Eje Cafetero - Antioquia;5;Antioquia;5483;Nariño
Region Eje Cafetero - Antioquia;5;Antioquia;5490;Necocli
Region Eje Cafetero - Antioquia;5;Antioquia;5495;Nechi
Region Eje Cafetero - Antioquia;5;Antioquia;5501;Olaya
Region Eje Cafetero - Antioquia;5;Antioquia;5541;Peñol
Region Eje Cafetero - Antioquia;5;Antioquia;5543;Peque
Region Eje Cafetero - Antioquia;5;Antioquia;5576;Pueblorrico
Region Eje Cafetero - Antioquia;5;Antioquia;5579;Puerto Berrio
Region Eje Cafetero - Antioquia;5;Antioquia;5585;Puerto Nare
Region Eje Cafetero - Antioquia;5;Antioquia;5591;Puerto Triunfo
Region Eje Cafetero - Antioquia;5;Antioquia;5604;Remedios
Region Eje Cafetero - Antioquia;5;Antioquia;5607;Retiro
Region Eje Cafetero - Antioquia;5;Antioquia;5615;Rionegro
Region Eje Cafetero - Antioquia;5;Antioquia;5628;Sabanalarga
Region Eje Cafetero - Antioquia;5;Antioquia;5631;Sabaneta
Region Eje Cafetero - Antioquia;5;Antioquia;5642;Salgar
Region Centro Oriente;15;Boyaca;15189;Cienega
Region Pacifico;52;Nariño;52699;Santacruz
Region Eje Cafetero - Antioquia;5;Antioquia;5652;San Francisco
Region Eje Cafetero - Antioquia;5;Antioquia;5656;San Jeronimo
Region Centro Oriente;68;Santander;68575;Puerto Wilches
Region Centro Oriente;68;Santander;68573;Puerto Parra
Region Eje Cafetero - Antioquia;5;Antioquia;5660;San Luis
Region Eje Cafetero - Antioquia;5;Antioquia;5664;San Pedro
Region Eje Cafetero - Antioquia;5;Antioquia;5667;San Rafael
Region Eje Cafetero - Antioquia;5;Antioquia;5670;San Roque
Region Eje Cafetero - Antioquia;5;Antioquia;5674;San Vicente
Region Eje Cafetero - Antioquia;5;Antioquia;5679;Santa Barbara
Region Eje Cafetero - Antioquia;5;Antioquia;5690;Santo Domingo
Region Eje Cafetero - Antioquia;5;Antioquia;5697;El Santuario
Region Eje Cafetero - Antioquia;5;Antioquia;5736;Segovia
Region Eje Cafetero - Antioquia;5;Antioquia;5761;Sopetran
Region Llano;50;Meta;50370;Uribe
Region Eje Cafetero - Antioquia;5;Antioquia;5789;Tamesis
Region Eje Cafetero - Antioquia;5;Antioquia;5790;Taraza
Region Eje Cafetero - Antioquia;5;Antioquia;5792;Tarso
Region Eje Cafetero - Antioquia;5;Antioquia;5809;Titiribi
Region Eje Cafetero - Antioquia;5;Antioquia;5819;Toledo
Region Eje Cafetero - Antioquia;5;Antioquia;5837;Turbo
Region Eje Cafetero - Antioquia;5;Antioquia;5842;Uramita
Region Eje Cafetero - Antioquia;5;Antioquia;5847;Urrao
Region Eje Cafetero - Antioquia;5;Antioquia;5854;Valdivia
Region Eje Cafetero - Antioquia;5;Antioquia;5856;Valparaiso
Region Eje Cafetero - Antioquia;5;Antioquia;5858;Vegachi
Region Eje Cafetero - Antioquia;5;Antioquia;5861;Venecia
Region Eje Cafetero - Antioquia;5;Antioquia;5885;Yali
Region Eje Cafetero - Antioquia;5;Antioquia;5887;Yarumal
Region Eje Cafetero - Antioquia;5;Antioquia;5890;Yolombo
Region Eje Cafetero - Antioquia;5;Antioquia;5893;Yondo
Region Eje Cafetero - Antioquia;5;Antioquia;5895;Zaragoza
Region Caribe;8;Atlantico;8001;Barranquilla
Region Caribe;8;Atlantico;8078;Baranoa
Region Caribe;8;Atlantico;8141;Candelaria
Region Caribe;8;Atlantico;8296;Galapa
Region Caribe;8;Atlantico;8421;Luruaco
Region Caribe;8;Atlantico;8433;Malambo
Region Caribe;8;Atlantico;8436;Manati
Region Caribe;8;Atlantico;8549;Piojo
Region Caribe;8;Atlantico;8558;Polonuevo
Region Caribe;8;Atlantico;8634;Sabanagrande
Region Caribe;8;Atlantico;8638;Sabanalarga
Region Caribe;8;Atlantico;8675;Santa Lucia
Region Caribe;8;Atlantico;8685;Santo Tomas
Region Caribe;8;Atlantico;8758;Soledad
Region Caribe;8;Atlantico;8770;Suan
Region Caribe;8;Atlantico;8832;Tubara
Region Caribe;8;Atlantico;8849;Usiacuri
Region Caribe;13;Bolivar;13006;Achi
Region Caribe;13;Bolivar;13042;Arenal
Region Caribe;13;Bolivar;13052;Arjona
Region Caribe;13;Bolivar;13062;Arroyohondo
Region Caribe;13;Bolivar;13140;Calamar
Region Caribe;13;Bolivar;13160;Cantagallo
Region Caribe;13;Bolivar;13188;Cicuco
Region Caribe;13;Bolivar;13212;Cordoba
Region Caribe;13;Bolivar;13222;Clemencia
Region Caribe;13;Bolivar;13248;El Guamo
Region Caribe;13;Bolivar;13430;Magangue
Region Caribe;13;Bolivar;13433;Mahates
Region Caribe;13;Bolivar;13440;Margarita
Region Caribe;13;Bolivar;13458;Montecristo
Region Caribe;13;Bolivar;13468;Mompos
Region Caribe;13;Bolivar;13473;Morales
Region Caribe;13;Bolivar;13490;Norosi
Region Caribe;13;Bolivar;13549;Pinillos
Region Caribe;13;Bolivar;13580;Regidor
Region Caribe;13;Bolivar;13600;Rio Viejo
Region Caribe;13;Bolivar;13647;San Estanislao
Region Caribe;13;Bolivar;13650;San Fernando
Region Caribe;13;Bolivar;13657;San Juan Nepomuceno
Region Caribe;13;Bolivar;13673;Santa Catalina
Region Caribe;13;Bolivar;13683;Santa Rosa
Region Caribe;13;Bolivar;13744;Simiti
Region Caribe;13;Bolivar;13760;Soplaviento
Region Caribe;13;Bolivar;13780;Talaigua Nuevo
Region Caribe;13;Bolivar;13810;Tiquisio
Region Caribe;13;Bolivar;13836;Turbaco
Region Caribe;13;Bolivar;13838;Turbana
Region Caribe;13;Bolivar;13873;Villanueva
Region Centro Oriente;15;Boyaca;15001;Tunja
Region Centro Oriente;15;Boyaca;15022;Almeida
Region Centro Oriente;15;Boyaca;15047;Aquitania
Region Centro Oriente;15;Boyaca;15051;Arcabuco
Region Centro Oriente;15;Boyaca;15090;Berbeo
Region Centro Oriente;15;Boyaca;15092;Beteitiva
Region Centro Oriente;15;Boyaca;15097;Boavita
Region Centro Oriente;15;Boyaca;15104;Boyaca
Region Centro Oriente;15;Boyaca;15106;Briceño
Region Centro Oriente;15;Boyaca;15109;Buena Vista
Region Centro Oriente;15;Boyaca;15114;Busbanza
Region Centro Oriente;15;Boyaca;15131;Caldas
Region Centro Oriente;15;Boyaca;15135;Campohermoso
Region Centro Oriente;15;Boyaca;15162;Cerinza
Region Centro Oriente;15;Boyaca;15172;Chinavita
Region Centro Oriente;15;Boyaca;15176;Chiquinquira
Region Centro Oriente;15;Boyaca;15180;Chiscas
Region Centro Oriente;15;Boyaca;15183;Chita
Region Centro Oriente;15;Boyaca;15185;Chitaraque
Region Centro Oriente;15;Boyaca;15187;Chivata
Region Centro Oriente;15;Boyaca;15204;Combita
Region Centro Oriente;15;Boyaca;15212;Coper
Region Centro Oriente;15;Boyaca;15215;Corrales
Region Centro Oriente;15;Boyaca;15218;Covarachia
Region Centro Oriente;15;Boyaca;15223;Cubara
Region Centro Oriente;15;Boyaca;15224;Cucaita
Region Centro Oriente;15;Boyaca;15226;Cuitiva
Region Centro Oriente;15;Boyaca;15232;Chiquiza
Region Centro Oriente;15;Boyaca;15236;Chivor
Region Centro Oriente;15;Boyaca;15238;Duitama
Region Centro Oriente;15;Boyaca;15244;El Cocuy
Region Centro Oriente;15;Boyaca;15248;El Espino
Region Centro Oriente;15;Boyaca;15272;Firavitoba
Region Centro Oriente;15;Boyaca;15276;Floresta
Region Centro Oriente;15;Boyaca;15293;Gachantiva
Region Centro Oriente;15;Boyaca;15296;Gameza
Region Centro Oriente;15;Boyaca;15299;Garagoa
Region Centro Oriente;15;Boyaca;15317;Guacamayas
Region Centro Oriente;15;Boyaca;15322;Guateque
Region Centro Oriente;15;Boyaca;15325;Guayata
Region Centro Oriente;15;Boyaca;15332;Güican
Region Centro Oriente;15;Boyaca;15362;Iza
Region Centro Oriente;15;Boyaca;15367;Jenesano
Region Centro Oriente;15;Boyaca;15368;Jerico
Region Centro Oriente;15;Boyaca;15377;Labranzagrande
Region Centro Oriente;15;Boyaca;15380;La Capilla
Region Centro Oriente;15;Boyaca;15401;La Victoria
Region Centro Oriente;15;Boyaca;15425;Macanal
Region Centro Oriente;15;Boyaca;15442;Maripi
Region Centro Oriente;15;Boyaca;15455;Miraflores
Region Centro Oriente;15;Boyaca;15464;Mongua
Region Centro Oriente;15;Boyaca;15466;Mongui
Region Centro Oriente;15;Boyaca;15469;Moniquira
Region Centro Oriente;15;Boyaca;15480;Muzo
Region Centro Oriente;15;Boyaca;15491;Nobsa
Region Centro Oriente;15;Boyaca;15494;Nuevo Colon
Region Centro Oriente;15;Boyaca;15500;Oicata
Region Centro Oriente;15;Boyaca;15507;Otanche
Region Centro Oriente;15;Boyaca;15511;Pachavita
Region Centro Oriente;15;Boyaca;15514;Paez
Region Centro Oriente;15;Boyaca;15516;Paipa
Region Centro Oriente;15;Boyaca;15518;Pajarito
Region Centro Oriente;15;Boyaca;15522;Panqueba
Region Centro Oriente;15;Boyaca;15531;Pauna
Region Centro Oriente;15;Boyaca;15533;Paya
Region Centro Oriente;15;Boyaca;15542;Pesca
Region Centro Oriente;15;Boyaca;15550;Pisba
Region Centro Oriente;15;Boyaca;15572;Puerto Boyaca
Region Centro Oriente;15;Boyaca;15580;Quipama
Region Centro Oriente;15;Boyaca;15599;Ramiriqui
Region Centro Oriente;15;Boyaca;15600;Raquira
Region Centro Oriente;15;Boyaca;15621;Rondon
Region Centro Oriente;15;Boyaca;15632;Saboya
Region Centro Oriente;15;Boyaca;15638;Sachica
Region Centro Oriente;15;Boyaca;15646;Samaca
Region Centro Oriente;15;Boyaca;15660;San Eduardo
Region Centro Oriente;15;Boyaca;15673;San Mateo
Region Centro Oriente;15;Boyaca;15686;Santana
Region Centro Oriente;15;Boyaca;15690;Santa Maria
Region Centro Oriente;15;Boyaca;15696;Santa Sofia
Region Centro Oriente;15;Boyaca;15720;Sativanorte
Region Centro Oriente;15;Boyaca;15723;Sativasur
Region Centro Oriente;15;Boyaca;15740;Siachoque
Region Centro Oriente;15;Boyaca;15753;Soata
Region Centro Oriente;15;Boyaca;15755;Socota
Region Centro Oriente;15;Boyaca;15757;Socha
Region Centro Oriente;15;Boyaca;15759;Sogamoso
Region Centro Oriente;15;Boyaca;15761;Somondoco
Region Centro Oriente;15;Boyaca;15762;Sora
Region Centro Oriente;15;Boyaca;15763;Sotaquira
Region Centro Oriente;15;Boyaca;15764;Soraca
Region Centro Oriente;15;Boyaca;15774;Susacon
Region Centro Oriente;15;Boyaca;15776;Sutamarchan
Region Centro Oriente;15;Boyaca;15778;Sutatenza
Region Centro Oriente;15;Boyaca;15790;Tasco
Region Centro Oriente;15;Boyaca;15798;Tenza
Region Centro Oriente;15;Boyaca;15804;Tibana
Region Centro Oriente;15;Boyaca;15808;Tinjaca
Region Centro Oriente;15;Boyaca;15810;Tipacoque
Region Centro Oriente;15;Boyaca;15814;Toca
Region Centro Oriente;15;Boyaca;15820;Topaga
Region Centro Oriente;15;Boyaca;15822;Tota
Region Centro Oriente;15;Boyaca;15835;Turmeque
Region Centro Oriente;15;Boyaca;15839;Tutaza
Region Centro Oriente;15;Boyaca;15842;Umbita
Region Centro Oriente;15;Boyaca;15861;Ventaquemada
Region Centro Oriente;15;Boyaca;15879;Viracacha
Region Centro Oriente;15;Boyaca;15897;Zetaquira
Region Eje Cafetero - Antioquia;17;Caldas;17001;Manizales
Region Eje Cafetero - Antioquia;17;Caldas;17013;Aguadas
Region Eje Cafetero - Antioquia;17;Caldas;17042;Anserma
Region Eje Cafetero - Antioquia;17;Caldas;17050;Aranzazu
Region Eje Cafetero - Antioquia;17;Caldas;17088;Belalcazar
Region Eje Cafetero - Antioquia;17;Caldas;17174;Chinchina
Region Eje Cafetero - Antioquia;17;Caldas;17272;Filadelfia
Region Eje Cafetero - Antioquia;17;Caldas;17380;La Dorada
Region Eje Cafetero - Antioquia;17;Caldas;17388;La Merced
Region Eje Cafetero - Antioquia;17;Caldas;17433;Manzanares
Region Eje Cafetero - Antioquia;17;Caldas;17442;Marmato
Region Eje Cafetero - Antioquia;17;Caldas;17446;Marulanda
Region Eje Cafetero - Antioquia;17;Caldas;17486;Neira
Region Eje Cafetero - Antioquia;17;Caldas;17495;Norcasia
Region Eje Cafetero - Antioquia;17;Caldas;17513;Pacora
Region Eje Cafetero - Antioquia;17;Caldas;17524;Palestina
Region Eje Cafetero - Antioquia;17;Caldas;17541;Pensilvania
Region Eje Cafetero - Antioquia;17;Caldas;17614;Riosucio
Region Eje Cafetero - Antioquia;17;Caldas;17616;Risaralda
Region Eje Cafetero - Antioquia;17;Caldas;17653;Salamina
Region Eje Cafetero - Antioquia;17;Caldas;17662;Samana
Region Eje Cafetero - Antioquia;17;Caldas;17665;San Jose
Region Eje Cafetero - Antioquia;17;Caldas;17777;Supia
Region Eje Cafetero - Antioquia;17;Caldas;17867;Victoria
Region Eje Cafetero - Antioquia;17;Caldas;17873;Villamaria
Region Eje Cafetero - Antioquia;17;Caldas;17877;Viterbo
Region Centro Sur;18;Caqueta;18001;Florencia
Region Centro Sur;18;Caqueta;18029;Albania
Region Centro Sur;18;Caqueta;18205;Curillo
